Date,DOM,BDOM,xGD,BEXT,xGE,EXT
2023-01-14,Lens,1.0,2.0,0.0,0.3,Auxerre
2023-01-14,Marseille,3.0,2.2,1.0,0.5,Lorient
2023-01-14,Lyon,1.0,2.8,2.0,1.1,Strasbourg
2023-01-15,Lille,5.0,3.8,1.0,0.9,Troyes
2023-01-15,Toulouse,1.0,1.4,1.0,1.0,Brest
2023-01-15,Montpellier,0.0,0.9,3.0,0.6,Nantes
2023-01-15,Reims,0.0,0.9,0.0,0.8,Nice
2023-01-15,Angers,1.0,0.6,2.0,1.7,Clermont Foot
2023-01-15,Monaco,7.0,3.7,1.0,0.3,Ajaccio
2023-01-15,Rennes,1.0,0.8,0.0,1.0,Paris S-G
2023-01-27,Lorient,2.0,0.9,1.0,1.5,Rennes
2023-01-28,Troyes,1.0,1.2,1.0,2.9,Lens
2023-01-28,Marseille,1.0,1.6,1.0,1.5,Monaco
2023-01-29,Nice,1.0,1.6,0.0,1.6,Lille
2023-01-29,Clermont Foot,0.0,0.7,0.0,0.1,Nantes
2023-01-29,Brest,4.0,1.6,0.0,0.8,Angers
2023-01-29,Auxerre,0.0,1.8,2.0,0.7,Montpellier
2023-01-29,Strasbourg,1.0,1.3,2.0,1.2,Toulouse
2023-01-29,Ajaccio,0.0,1.7,2.0,1.9,Lyon
2023-01-29,Paris S-G,1.0,1.6,1.0,2.5,Reims
2023-02-01,Lille,0.0,1.3,0.0,1.4,Clermont Foot
2023-02-01,Nantes,0.0,1.2,2.0,1.7,Marseille
2023-02-01,Toulouse,4.0,2.2,1.0,1.2,Troyes
2023-02-01,Angers,1.0,0.4,2.0,1.4,Ajaccio
2023-02-01,Reims,4.0,3.8,2.0,0.6,Lorient
2023-02-01,Lyon,0.0,2.5,0.0,0.6,Brest
2023-02-01,Monaco,3.0,1.2,2.0,1.4,Auxerre
2023-02-01,Montpellier,1.0,0.5,3.0,4.4,Paris S-G
2023-02-01,Lens,0.0,0.6,1.0,2.1,Nice
2023-02-01,Rennes,3.0,1.1,0.0,0.1,Strasbourg
2023-02-04,Paris S-G,2.0,1.9,1.0,0.8,Toulouse
2023-02-04,Troyes,1.0,1.0,3.0,0.8,Lyon
2023-02-04,Rennes,1.0,1.8,3.0,2.2,Lille
2023-02-05,Clermont Foot,0.0,0.4,2.0,1.4,Monaco
2023-02-05,Strasbourg,2.0,0.9,0.0,0.9,Montpellier
2023-02-05,Ajaccio,0.0,0.3,2.0,1.2,Nantes
2023-02-05,Auxerre,0.0,1.2,0.0,0.6,Reims
2023-02-05,Lorient,0.0,1.0,0.0,0.7,Angers
2023-02-05,Brest,1.0,2.0,1.0,2.5,Lens
2023-02-05,Marseille,1.0,2.3,3.0,1.4,Nice
2023-02-10,Nice,3.0,0.6,0.0,0.4,Ajaccio
2023-02-11,Monaco,3.0,2.9,1.0,0.8,Paris S-G
2023-02-11,Clermont Foot,0.0,0.8,2.0,2.6,Marseille
2023-02-12,Toulouse,3.0,2.1,1.0,1.3,Rennes
2023-02-12,Angers,1.0,0.9,1.0,2.6,Auxerre
2023-02-12,Lille,2.0,2.7,0.0,0.3,Strasbourg
2023-02-12,Montpellier,3.0,2.5,0.0,0.8,Brest
2023-02-12,Reims,4.0,2.3,0.0,0.9,Troyes
2023-02-12,Nantes,1.0,1.0,0.0,1.1,Lorient
2023-02-12,Lyon,2.0,1.4,1.0,1.1,Lens
2023-02-17,Auxerre,2.0,1.5,1.0,0.8,Lyon
2023-02-18,Nice,0.0,1.2,0.0,1.6,Reims
2023-02-18,Strasbourg,2.0,1.7,1.0,1.2,Angers
2023-02-19,Paris S-G,4.0,2.0,3.0,2.4,Lille
2023-02-19,Troyes,0.0,0.1,1.0,1.6,Montpellier
2023-02-19,Lorient,3.0,2.5,0.0,0.7,Ajaccio
2023-02-19,Brest,1.0,0.9,2.0,1.5,Monaco
2023-02-19,Rennes,2.0,2.4,0.0,1.1,Clermont Foot
2023-02-19,Lens,3.0,2.4,1.0,0.3,Nantes
2023-02-19,Toulouse,2.0,2.0,3.0,1.0,Marseille
2023-02-24,Lille,2.0,1.0,1.0,0.2,Brest
2023-02-25,Angers,1.0,1.5,3.0,1.1,Lyon
2023-02-25,Montpellier,1.0,0.6,1.0,1.9,Lens
2023-02-26,Lorient,0.0,1.5,1.0,0.7,Auxerre
2023-02-26,Clermont Foot,1.0,1.2,1.0,1.2,Strasbourg
2023-02-26,Ajaccio,2.0,3.8,1.0,1.5,Troyes
2023-02-26,Reims,3.0,2.7,0.0,1.1,Toulouse
2023-02-26,Nantes,0.0,2.6,1.0,1.1,Rennes
2023-02-26,Monaco,0.0,1.0,3.0,2.3,Nice
2023-02-26,Marseille,0.0,1.6,3.0,2.0,Paris S-G
2023-03-03,Nice,1.0,1.6,1.0,0.5,Auxerre
2023-03-04,Lens,1.0,0.9,1.0,1.6,Lille
